"","Location","Source","Indicator","Case_definition","Week","Cases","Epi_Week"
"1","BO","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"2","BO","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"3","BO","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"4","BO","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"5","BOMBALI","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"6","BOMBALI","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"7","BOMBALI","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"8","BOMBALI","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"9","BONTHE","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"10","BONTHE","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"11","BONTHE","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"12","BONTHE","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"13","KAILAHUN","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"14","KAILAHUN","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"15","KAILAHUN","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"16","KAILAHUN","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"17","KAMBIA","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"18","KAMBIA","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"19","KAMBIA","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"20","KAMBIA","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"21","KENEMA","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"22","KENEMA","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"23","KENEMA","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"24","KENEMA","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"25","KOINADUGU","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"26","KOINADUGU","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"27","KOINADUGU","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"28","KOINADUGU","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"29","KONO","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
