"","Location","Source","Indicator","Case_definition","Week","Cases","Epi_Week"
"1","BEYLA","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"2","BEYLA","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"3","BEYLA","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"4","BEYLA","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"5","BOFFA","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"6","BOFFA","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"7","BOFFA","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"8","BOFFA","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"9","BOKE","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"10","BOKE","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"11","BOKE","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"12","BOKE","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"13","CONAKRY","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"14","CONAKRY","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"15","CONAKRY","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"16","CONAKRY","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"17","COYAH","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"18","COYAH","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"19","COYAH","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"20","COYAH","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"21","DABOLA","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"22","DABOLA","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"23","DABOLA","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"24","DABOLA","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"25","DALABA","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"26","DALABA","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"27","DALABA","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"28","DALABA","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"29","DINGUIRAYE","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"30","DINGUIRAYE","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"31","DINGUIRAYE","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"32","DINGUIRAYE","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"33","DUBREKA","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"34","DUBREKA","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"35","DUBREKA","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"36","DUBREKA","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
"37","FARANAH","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"38","FARANAH","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"39","FARANAH","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",0," 2014-W01 "
