"","Location","Source","Indicator","Case_definition","Week","Cases","Epi_Week"
"1","BOMI","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"2","BOMI","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"3","BOMI","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"4","BOMI","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"5","BONG","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"6","BONG","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"7","BONG","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"8","BONG","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"9","GBARPOLU","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"10","GBARPOLU","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"11","GBARPOLU","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"12","GBARPOLU","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"13","GRAND BASSA","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"14","GRAND BASSA","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"15","GRAND BASSA","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"16","GRAND BASSA","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"17","GRAND CAPE MOUNT","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"18","GRAND CAPE MOUNT","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"19","GRAND CAPE MOUNT","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"20","GRAND CAPE MOUNT","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"21","GRAND GEDEH","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"22","GRAND GEDEH","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"23","GRAND GEDEH","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"24","GRAND GEDEH","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"25","GRAND KRU","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"26","GRAND KRU","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"27","GRAND KRU","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"28","GRAND KRU","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"29","LOFA","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"30","LOFA","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"31","LOFA","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"32","LOFA","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"33","MARGIBI","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"34","MARGIBI","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"35","MARGIBI","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"36","MARGIBI","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"37","MARYLAND","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"38","MARYLAND","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"39","MARYLAND","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"40","MARYLAND","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"41","MONTSERRADO","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"42","MONTSERRADO","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"43","MONTSERRADO","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"44","MONTSERRADO","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"45","NIMBA","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"46","NIMBA","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"47","NIMBA","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"48","NIMBA","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"49","RIVER GEE","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"50","RIVER GEE","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"51","RIVER GEE","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"52","RIVER GEE","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"53","RIVERCESS","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"54","RIVERCESS","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"55","RIVERCESS","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"56","RIVERCESS","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"57","SINOE","Situation report","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"58","SINOE","Situation report","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"59","SINOE","Patient database","New","Confirmed","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"60","SINOE","Patient database","New","Probable","30 December 2013 to 05 January 2014 (2014-W01)",NA," 2014-W01 "
"61","BOMI","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"62","BOMI","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"63","BOMI","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"64","BOMI","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"65","BONG","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"66","BONG","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"67","BONG","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"68","BONG","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"69","GBARPOLU","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"70","GBARPOLU","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"71","GBARPOLU","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"72","GBARPOLU","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"73","GRAND BASSA","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"74","GRAND BASSA","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"75","GRAND BASSA","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"76","GRAND BASSA","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"77","GRAND CAPE MOUNT","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"78","GRAND CAPE MOUNT","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"79","GRAND CAPE MOUNT","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"80","GRAND CAPE MOUNT","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"81","GRAND GEDEH","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"82","GRAND GEDEH","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"83","GRAND GEDEH","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"84","GRAND GEDEH","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"85","GRAND KRU","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"86","GRAND KRU","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"87","GRAND KRU","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"88","GRAND KRU","Patient database","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"89","LOFA","Situation report","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"90","LOFA","Situation report","New","Probable","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
"91","LOFA","Patient database","New","Confirmed","06 to 12 January 2014 (2014-W02)",NA," 2014-W02 "
